DistrictID,DistrictT,DistrictE,DistrictCode,AmphurCode,DistrictOther
108,กันทรอม,กันทรอม,NULL,NULL,NULL
109,กันทรารมย์,กันทรารมย์,NULL,NULL,NULL
110,กาบเชิง,กาบเชิง,NULL,NULL,NULL
111,กุดเค้า,กุดเค้า,NULL,NULL,NULL
112,กุดเสลา,กุดเสลา,NULL,NULL,NULL
113,กุดโดน,กุดโดน,NULL,NULL,NULL
114,กุดโบสถ์,กุดโบสถ์,NULL,NULL,NULL
115,กุดจับ,กุดจับ,NULL,NULL,NULL
116,กุดชุม,กุดชุม,NULL,NULL,NULL
117,กุดดินจี่,กุดดินจี่,NULL,NULL,NULL
118,กุดธาตุ,กุดธาตุ,NULL,NULL,NULL
119,กุดบง,กุดบง,NULL,NULL,NULL
120,ขัวก่าย,ขัวก่าย,NULL,NULL,NULL
121,ขามเรียง,ขามเรียง,NULL,NULL,NULL
122,ขี้เหล็ก,ขี้เหล็ก,NULL,NULL,NULL
123,ขุนทอง,ขุนทอง,NULL,NULL,NULL
124,คลองขลุง,คลองขลุง,NULL,NULL,NULL
125,คลองคะเชนทร์,คลองคะเชนทร์,NULL,NULL,NULL
126,คลองตะเกรา,คลองตะเกรา,NULL,NULL,NULL
127,คลองตำหรุ,คลองตำหรุ,NULL,NULL,NULL
128,คลองนิยมยาตรา,คลองนิยมยาตรา,NULL,NULL,NULL
129,คลองหนึ่ง,คลองหนึ่ง,NULL,NULL,NULL
130,คอเเลน,คอเเลน,NULL,NULL,NULL
131,ค้อเหนือ,ค้อเหนือ,NULL,NULL,NULL
132,ค้อใหญ่,ค้อใหญ่,NULL,NULL,NULL
133,คอนสาย,คอนสาย,NULL,NULL,NULL
134,คันนายาว,คันนายาว,NULL,NULL,NULL
135,คำอาฮวน,คำอาฮวน,NULL,NULL,NULL
136,คูคำ,คูคำ,NULL,NULL,NULL
137,คูตัน,คูตัน,NULL,NULL,NULL
138,งิม,งิม,NULL,NULL,NULL
139,จริม,จริม,NULL,NULL,NULL
140,จอมศรี,จอมศรี,NULL,NULL,NULL
141,จันจว้า,จันจว้า,NULL,NULL,NULL
142,จันจว้าใต้,จันจว้าใต้,NULL,NULL,NULL
143,จานใหญ่,จานใหญ่,NULL,NULL,NULL
144,จีกแดก,จีกแดก,NULL,NULL,NULL
145,จุน,จุน,NULL,NULL,NULL
146,ชานุมาน,ชานุมาน,NULL,NULL,NULL
147,ชุมแพ,ชุมแพ,NULL,NULL,NULL
148,ชุมช้าง,ชุมช้าง,NULL,NULL,NULL
149,ชุมตาบง,ชุมตาบง,NULL,NULL,NULL
150,ชุมพร,ชุมพร,NULL,NULL,NULL
151,ณรงค์,ณรงค์,NULL,NULL,NULL
152,ดงเหนือ,ดงเหนือ,NULL,NULL,NULL
153,ดงใหญ่,ดงใหญ่,NULL,NULL,NULL
154,ดงขุย,ดงขุย,NULL,NULL,NULL
155,ดงลาน,ดงลาน,NULL,NULL,NULL
156,ดงอีจาน,ดงอีจาน,NULL,NULL,NULL
157,ดวนใหญ่,ดวนใหญ่,NULL,NULL,NULL
158,ดอนกลอย,ดอนกลอย,NULL,NULL,NULL
159,ดอนหัวฬ่อ,ดอนหัวฬ่อ,NULL,NULL,NULL
160,ด่านจาก,ด่านจาก,NULL,NULL,NULL
161,ด่านซ้าย,ด่านซ้าย,NULL,NULL,NULL
162,ด่านทับตะโก,ด่านทับตะโก,NULL,NULL,NULL
163,ด่านศรีสุข,ด่านศรีสุข,NULL,NULL,NULL
164,ดำครั่ง,ดำครั่ง,NULL,NULL,NULL
165,ต.นาป่า,ต.นาป่า,NULL,NULL,NULL
166,ต.บึง,ต.บึง,NULL,NULL,NULL
167,ต.ลำคอหงษ์,ต.ลำคอหงษ์,NULL,NULL,NULL
168,ตระกาจ,ตระกาจ,NULL,NULL,NULL
169,ตรำดม,ตรำดม,NULL,NULL,NULL
170,ตรึม,ตรึม,NULL,NULL,NULL
171,ตลองกิ่ว,ตลองกิ่ว,NULL,NULL,NULL
172,ตลาด,ตลาด,NULL,NULL,NULL
173,ตะเคียนเตี้ย,ตะเคียนเตี้ย,NULL,NULL,NULL
174,ตะขบ,ตะขบ,NULL,NULL,NULL
175,ตาขีด,ตาขีด,NULL,NULL,NULL
176,ตาชัย,ตาชัย,NULL,NULL,NULL
177,ถนนโพธิ์,ถนนโพธิ์,NULL,NULL,NULL
178,ถอนสมอ,ถอนสมอ,NULL,NULL,NULL
179,ทมอ,ทมอ,NULL,NULL,NULL
180,ทรายขาว,ทรายขาว,NULL,NULL,NULL
181,ทับทัน,ทับทัน,NULL,NULL,NULL
182,ทับมา,ทับมา,NULL,NULL,NULL
183,ท่าเกษม,ท่าเกษม,NULL,NULL,NULL
184,ท่าเสา,ท่าเสา,NULL,NULL,NULL
185,ท่าแยก,ท่าแยก,NULL,NULL,NULL
186,ท่าโรง,ท่าโรง,NULL,NULL,NULL
187,ท่ากระดาน,ท่ากระดาน,NULL,NULL,NULL
188,ท่าข้าม,ท่าข้าม,NULL,NULL,NULL
189,ท่าตูม,ท่าตูม,NULL,NULL,NULL
190,ท่าทราย,ท่าทราย,NULL,NULL,NULL
191,ท่าปลา,ท่าปลา,NULL,NULL,NULL
192,ท่าม่วง,ท่าม่วง,NULL,NULL,NULL
193,ท่าลี่,ท่าลี่,NULL,NULL,NULL
194,ท่าหลวง,ท่าหลวง,NULL,NULL,NULL
195,ทำนบ,ทำนบ,NULL,NULL,NULL
196,ทุ่งแสงทอง,ทุ่งแสงทอง,NULL,NULL,NULL
197,ทุ่งต้อม,ทุ่งต้อม,NULL,NULL,NULL
198,ทุ่งยั้ง,ทุ่งยั้ง,NULL,NULL,NULL
199,ทุ่งศุขลา,ทุ่งศุขลา,NULL,NULL,NULL
200,ทุ่งสขลา,ทุ่งสขลา,NULL,NULL,NULL
201,ทุ่งสองห้อง,ทุ่งสองห้อง,NULL,NULL,NULL
202,ทุ่งสุขลา,ทุ่งสุขลา,NULL,NULL,NULL
203,ธาตุเชิงชุม,ธาตุเชิงชุม,NULL,NULL,NULL
204,ธาตุทอง,ธาตุทอง,NULL,NULL,NULL
205,นครสวรรค์,นครสวรรค์,NULL,NULL,NULL
206,นาเเค,นาเเค,NULL,NULL,NULL
207,นาเกลือ,นาเกลือ,NULL,NULL,NULL
208,นาแค,นาแค,NULL,NULL,NULL
209,นาแต้,นาแต้,NULL,NULL,NULL
210,นาแพง,นาแพง,NULL,NULL,NULL
211,นาโบสถ์,นาโบสถ์,NULL,NULL,NULL
212,นาไหม,นาไหม,NULL,NULL,NULL
213,นาขุนไกร,นาขุนไกร,NULL,NULL,NULL
214,นาครัว,นาครัว,NULL,NULL,NULL
215,นาคาย,นาคาย,NULL,NULL,NULL
216,นาคำไฮ,นาคำไฮ,NULL,NULL,NULL
217,นางแก้ว,นางแก้ว,NULL,NULL,NULL
218,นางาม,นางาม,NULL,NULL,NULL
219,นาซ่าว,นาซ่าว,NULL,NULL,NULL
220,นาดงพัฒนา,นาดงพัฒนา,NULL,NULL,NULL
221,นาดำ,นาดำ,NULL,NULL,NULL
222,นาดี,นาดี,NULL,NULL,NULL
223,นาตงวัฒนา,นาตงวัฒนา,NULL,NULL,NULL
224,นาถ่อน,นาถ่อน,NULL,NULL,NULL
225,นาทม,นาทม,NULL,NULL,NULL
226,นาน้อย,นาน้อย,NULL,NULL,NULL
