ZipcodeID,DistrictCode,ZipcodeCode
398,140421,13290
399,140422,13290
400,140423,13190
401,140501,13250
402,140502,13250
403,140503,13250
404,140504,13250
405,140505,13250
406,140506,13250
407,140507,13250
408,140508,13250
409,140509,13250
410,140510,13250
411,140511,13250
412,140512,13250
413,140513,13250
414,140514,13250
415,140515,13250
416,140516,13250
417,140601,13160
418,140602,13180
419,140603,13160
420,140604,13160
421,140605,13160
422,140606,13160
423,140607,13160
424,140608,13160
425,140609,13160
426,140610,13160
427,140611,13160
428,140612,13160
429,140613,13160
430,140614,13160
431,140615,13160
432,140616,13170
433,140617,13160
434,140618,13160
435,140701,13220
436,140702,13220
437,140703,13220
438,140704,13220
439,140705,13220
440,140706,13220
441,140707,13220
442,140708,13220
443,140709,13220
444,140710,13220
445,140711,13220
446,140712,13220
447,140713,13220
448,140714,13220
449,140715,13220
450,140716,13220
451,140717,13220
452,140801,13120
453,140802,13120
454,140803,13120
455,140804,13120
456,140805,13120
457,140806,13120
458,140807,13280
459,140808,13280
460,140809,13120
461,140810,13280
462,140811,13120
463,140812,13280
464,140813,13280
465,140814,13120
466,140815,13120
467,140816,13120
468,140901,13140
469,140902,13140
470,140903,13140
471,140904,13140
472,140905,13140
473,140906,13140
474,140907,13140
475,140908,13140
476,141001,13230
477,141002,13230
478,141003,13230
479,141004,13230
480,141005,13230
481,141006,13230
482,141007,13230
483,141101,13170
484,141102,13170
485,141103,13170
486,141104,13170
487,141105,13170
488,141106,13170
489,141107,13170
490,141108,13170
491,141109,13170
492,141110,13170
493,141201,13110
494,141202,13110
495,141203,13110
496,141204,13110
497,141205,13110
498,141206,13110
499,141207,13110
500,141208,13110
501,141209,13110
502,141210,13110
503,141211,13110
504,141212,13110
505,141213,13110
506,141214,13110
507,141215,13110
508,141216,13110
509,141217,13110
510,141301,13270
511,141302,13270
512,141303,13270
513,141304,13270
514,141305,13270
515,141306,13270
516,141401,13210
517,141402,13210
518,141403,13210
519,141404,13210
520,141405,13210
521,141406,13210
522,141407,13210
523,141408,13210
524,141409,13210
525,141410,13210
526,141411,13210
527,141501,13150
528,141502,13150
529,141503,13150
530,141504,13150
531,141505,13150
532,141506,13150
533,141507,13150
534,141508,13150
535,141509,13150
536,141510,13150
537,141511,13150
538,141512,13150
539,141601,13240
540,141602,13240
541,141603,13240
542,141604,13240
543,141605,13240
544,150101,14000
545,150102,14000
546,150103,14000
547,150104,14000
548,150105,14000
549,150106,14000
550,150107,14000
551,150108,14000
552,150109,14000
553,150110,14000
554,150111,14000
555,150112,14000
556,150113,14000
557,150114,14000
558,150201,14140
559,150202,14140
560,150203,14140
561,150204,14140
562,150205,14140
563,150206,14140
564,150207,14140
565,150208,14140
566,150209,14140
567,150301,14130
568,150302,14130
569,150303,14130
570,150304,14130
571,150305,14130
572,150306,14130
573,150307,14130
574,150308,14130
575,150401,14120
576,150402,14120
577,150403,14120
578,150404,14120
579,150405,14120
580,150406,14120
581,150407,14120
582,150408,14120
583,150409,14120
584,150410,14120
585,150411,14120
586,150412,14120
587,150413,14120
588,150414,14120
589,150415,14120
590,150501,14150
591,150502,14150
592,150503,14150
593,150504,14150
594,150505,14150
595,150506,14150
596,150507,14150
597,150601,14110
598,150602,14110
599,150603,14110
600,150604,14110
601,150605,14110
602,150606,14110
603,150607,14110
604,150608,14110
605,150609,14110
606,150610,14110
607,150611,14110
608,150612,14110
609,150613,14110
610,150614,14110
611,150615,14110
612,150701,14160
613,150702,14160
614,150703,14160
615,150704,14160
616,150705,14160
617,160101,15000
618,160102,15000
619,160103,15000
620,160104,13240
621,160105,15000
622,160106,15000
623,160107,15000
624,160108,15000
625,160109,15210
626,160110,15000
627,160111,15000
628,160112,15000
629,160114,15000
630,160115,15000
631,160116,15000
632,160117,15000
633,160118,15000
634,160119,15000
635,160120,15000
636,160121,15000
637,160122,15000
638,160123,15000
639,160124,15000
640,160125,15000
641,160201,15140
642,160202,15220
643,160203,15140
644,160204,15220
645,160205,15140
646,160206,15140
647,160207,15140
648,160208,18220
649,160209,15140
650,160301,15120
651,160302,15120
652,160303,15120
653,160304,15120
654,160305,15120
655,160306,15120
656,160307,15120
657,160308,15120
658,160309,15120
659,160310,15120
660,160318,15120
661,160320,15120
662,160322,15120
663,160401,15130
664,160402,15130
665,160403,15130
666,160404,15130
667,160405,15230
668,160406,15130
669,160407,15130
670,160408,15230
671,160409,15130
672,160410,15190
673,160411,15130
674,160412,15130
675,160414,15130
676,160417,15130
677,160418,15230
678,160419,15130
679,160422,15130
680,160501,15150
681,160502,15150
682,160503,15150
683,160504,15150
684,160505,15150
685,160506,15150
686,160507,15180
687,160508,15150
688,160509,15150
689,160510,15150
690,160511,15150
691,160601,15110
692,160602,15110
693,160603,15110
694,160604,15110
695,160605,15180
696,160606,15110
697,160607,15110
698,160608,15110
699,160609,15110
700,160610,15110
